Sample Number (10000 samples per second),LoadCell (),X1 (),X2 (),X3 (),EPOSPosition (),EPOSCurrent ()
4011,311.63,3.42,-19.82,7320.39,33988.0,63236.0
4012,290.52,3.32,16.78,-7544.29,34158.0,63236.0
4013,287.66,3.41,-20.94,7319.21,34168.0,62604.0
4014,279.52,3.3,15.65,-7272.64,33989.0,3007.0
4015,295.49,3.38,-20.71,7435.53,33991.0,62278.0
4016,306.17,3.28,16.47,-7014.89,33754.0,2823.0
4017,338.24,3.36,-18.61,7491.64,33671.0,61290.0
4018,343.68,3.26,18.85,-7196.65,33363.0,1778.0
4019,372.6,3.36,-17.13,7586.51,33292.0,61327.0
4020,364.8,3.27,20.8,-7571.31,32989.0,2385.0
4021,389.56,3.38,-17.05,7858.57,32927.0,60703.0
4022,371.12,3.29,22.24,-8056.87,32701.0,1810.0
4023,369.61,3.4,-18.05,7804.33,32903.0,62673.0
4024,352.2,3.31,20.98,-7972.02,33048.0,4174.0
4025,342.24,3.42,-18.88,7563.0,33415.0,63079.0
4026,310.69,3.32,18.93,-8005.16,33516.0,4567.0
4027,299.11,3.42,-21.1,7584.34,33897.0,63382.0
4028,281.75,3.31,16.83,-7720.58,34041.0,1878.0
4029,282.8,3.4,-21.78,7573.17,34196.0,62460.0
4030,293.58,3.29,16.09,-7139.78,33948.0,2934.0
4031,315.65,3.37,-19.61,7420.25,33750.0,61468.0
4032,331.13,3.27,17.49,-6914.51,33390.0,2446.0
4033,362.62,3.36,-17.08,7369.48,33212.0,61026.0
